技能对照参考表 by Lein
暂定分位：
200~	称号技能
400~	独有技能
600~	BUFF实现

技能编号	所属包			技能名		说明
201		内定称号扩展包		静息		狙击鹰眼技能
202		内定称号扩展包		破甲		狙击鹰眼技能
203		内定称号扩展包		瞄准		狙击鹰眼技能
204		内定称号扩展包		掠夺		狙击鹰眼技能
205		内定称号扩展包		咆哮		狙击鹰眼技能
206		内定称号扩展包		爆头		狙击鹰眼技能
207		内定称号扩展包		直感		见敌必斩技能
208		内定称号扩展包		强袭		见敌必斩技能
209		内定称号扩展包		舞钢		见敌必斩技能
210		内定称号扩展包		歼灭		见敌必斩技能
211		内定称号扩展包		谨慎		拆弹专家技能
212		内定称号扩展包		冷静		拆弹专家技能
213		内定称号扩展包		反思		拆弹专家技能
214		内定称号扩展包		专注		拆弹专家技能
215		内定称号扩展包		高能		拆弹专家技能
216		内定称号扩展包		双响		拆弹专家技能
217		内定称号扩展包		特攻		黑衣组织技能
218		内定称号扩展包		渗透		黑衣组织技能
219		内定称号扩展包		淬毒		黑衣组织特性
220		内定称号扩展包		查毒		黑衣组织特性
221		内定称号扩展包		衰弱		黑衣组织技能
222		内定称号扩展包		催化		黑衣组织技能
223		内定称号扩展包		暗杀		黑衣组织技能
224		内定称号扩展包		强毒		黑衣组织特性
225		内定称号扩展包		高速		高速成长特性
226		内定称号扩展包		神智		高速成长技能
227		内定称号扩展包		神权		高速成长技能
228		内定称号扩展包		神击		高速成长技能
229		内定称号扩展包		神功		高速成长技能
230		内定称号扩展包		带电		锡安成员特性
231		内定称号扩展包		强电		锡安成员特性
232		内定称号扩展包		力场		锡安成员技能
233		内定称号扩展包		网瘾		锡安成员特性
234		内定称号扩展包		破解		锡安成员技能
235		内定称号扩展包		探测		锡安成员技能
236		内定称号扩展包		科学		锡安成员技能
237		内定称号扩展包		EMP 		锡安成员技能
238		内定称号扩展包		过载		锡安成员技能

400		内定称号扩展包		重击		独立技能
401		内定称号扩展包		硬化		独立技能
402		内定称号扩展包		直死		独立技能
403		内定称号扩展包		追击		独立技能
404		内定称号扩展包		底力		独立技能
405		内定称号扩展包		疾走		独立技能(芙蓉)
406		内定称号扩展包		心火		独立技能(蓝凝)
407		内定称号扩展包		红石		独立技能(丁香)
408		内定称号扩展包		菁英		独立技能(教官)
409		内定称号扩展包		不动		独立技能(飞龙)
410		内定称号扩展包		猛风		独立技能(翼虎)
411		内定称号扩展包		菁英		独立技能(电返)
412		内定称号扩展包		反演		独立技能(NPC lemon)
413		内定称号扩展包		键人		独立技能(K男)
414		内定称号扩展包		必中		独立技能(某神)
415		内定称号扩展包		影像		独立技能(黑曲)
416		内定称号扩展包		团结		独立技能(挑战者)
417		内定称号扩展包		姨妈		独立技能(CD延长)
418		内定称号扩展包		赌博		独立技能(切糕掉落增加)
419		内定称号扩展包		暗夜		独立技能(海外党)

600		内定称号扩展包		衰弱		黑衣组织DEBUFF
601		内定称号扩展包		EMP 		锡安成员DEBUFF

2001	内定称号拓展包		无			偶像大师基本特性（初始歌魂+50，演唱歌词卡消耗减免）
2002  内定称号拓展包    歌喉    偶像大师加点技能
2003  内定称号拓展包    音感    偶像大师技能
2004  内定称号拓展包    战歌    偶像大师技能
2005  内定称号拓展包    专业    偶像大师技能(已完成的废案)
2006  内定称号拓展包    言灵    偶像大师技能
2007  内定称号拓展包    安魂    偶像大师技能
2008  内定称号拓展包    绝唱    偶像大师技能
2009	内定称号拓展包    创作    偶像大师技能
2010	内定称号拓展包    中和    偶像大师技能
2011	内定称号拓展包		伤噬结界	独立技能(书库娘)
2012	内定称号拓展包		收录		独立技能(书库娘)
2013	内定称号拓展包		破甲点射	独立技能(甲斐山诚)
2014	内定称号拓展包		构成破坏	独立技能(條原乙妃)
2015	内定称号拓展包		无			只是预留个位置(三叶幸)
2016	内定称号拓展包		支援空袭	独立技能(无聊君)
2017	内定称号拓展包		备战成长	独立技能(数纳)
2018	内定称号拓展包		爆破伏击	独立技能(数纳)
2019	内定称号拓展包		念动衰竭	独立技能(北大路)
2020	内定称号拓展包		剑舞		独立技能(五十铃川)
2021	内定称号拓展包		隔空		独立技能(多NPC共用)
2022	内定称号拓展包		萤火机关术	独立技能(亚莉丝)
